price,year_sold,property_tax,insurance,beds,baths,sqft,year_built,lot_size,basement,popular,recession,property_age,property_type_Condo
295850,2013,234,81,1,1,584,2013,0,0,0,1,0,1
216500,2006,169,51,1,1,612,1965,0,1,0,0,41,1
279900,2012,216,74,1,1,615,1963,0,0,0,1,49,1
379900,2005,265,92,1,1,618,2000,33541,0,0,0,5,1
340000,2002,88,30,1,1,634,1992,0,0,0,0,10,1
265000,2004,168,58,1,1,641,1947,0,0,0,0,57,1
240000,2011,176,61,1,1,642,1944,0,0,0,1,67,0
388100,2005,266,92,1,1,650,2000,33541,0,0,0,5,1
240000,2013,188,65,1,1,660,1983,0,0,0,1,30,1
250000,2007,147,51,1,1,664,1965,0,0,0,0,42,1
335000,2015,248,86,1,1,669,2006,0,0,0,0,9,1
376750,2006,262,90,1,1,673,2005,46609,0,0,0,1,1
210000,2006,147,44,1,1,680,1963,0,1,0,0,43,1
289900,2005,195,68,1,1,685,1960,48787,0,0,0,45,1
535000,2014,421,146,1,1,687,2008,0,0,0,0,6,1
218000,2009,188,57,1,1,689,1988,0,1,0,0,21,1
400000,2016,276,96,1,1,689,2008,0,0,0,0,8,1
226000,2008,221,67,1,1,690,1997,0,1,0,0,11,1
363700,2007,302,104,1,1,692,2007,0,0,0,0,0,1
215000,2005,120,42,1,1,698,1963,0,0,0,0,42,1
327000,2010,256,88,1,1,698,2005,9686,0,0,1,5,1
331100,2012,251,87,1,1,700,2005,9686,0,0,1,7,1
240000,2005,139,42,1,1,703,1992,0,1,0,0,13,1
320000,2007,261,79,1,1,704,2005,0,1,0,0,2,1
290800,2006,257,78,1,1,704,2006,0,1,0,0,0,1
375000,2005,244,85,1,1,705,1985,0,0,0,0,20,1
377000,2008,316,109,1,1,709,2005,111513,0,0,0,3,1
262500,2014,201,69,1,1,711,1944,0,0,0,0,70,1
216250,2004,187,64,1,1,712,1944,0,0,0,0,60,0
270000,2005,218,66,1,1,722,1985,0,1,0,0,20,1
235000,2009,278,85,1,1,723,2005,0,1,0,0,4,1
225000,2009,118,41,1,1,724,1958,0,0,0,0,51,1
370000,2011,306,106,1,1,725,2006,0,0,0,1,5,1
232000,2008,243,74,1,1,736,1998,0,1,0,0,10,1
281900,2005,229,69,1,1,737,2000,0,1,0,0,5,1
355000,2006,298,103,1,1,740,2000,0,0,0,0,6,1
350000,2009,291,101,1,1,741,2006,0,0,0,0,3,1
231900,2005,118,41,1,1,750,1964,0,0,0,0,41,1
284000,2012,258,78,1,1,755,1996,0,1,0,1,16,1
255000,2012,190,66,1,1,759,1959,0,0,0,1,53,1
285850,2006,266,81,1,1,759,2006,0,1,0,0,0,1
249298,2012,251,76,1,1,759,2012,0,1,0,1,0,1
380000,2011,291,101,1,1,760,1991,0,0,0,1,20,1
244800,2011,190,66,1,1,767,1944,0,0,0,1,67,1
397400,2005,345,119,1,1,771,2005,111513,0,0,0,0,1
345000,2007,284,98,1,1,781,2006,0,0,0,0,1,1
220000,2009,221,67,1,1,792,1987,0,1,0,0,22,1
279000,2014,286,87,1,1,796,1986,0,1,0,0,28,1
286900,2006,184,56,1,1,797,2005,0,1,0,0,1,1
220000,2015,184,56,1,1,800,1985,0,1,0,0,30,1
305000,2005,150,49,1,1,805,1941,0,0,0,0,64,1
409575,2006,302,104,1,1,805,2005,46609,0,0,0,1,1
300367,2007,261,79,1,1,805,2007,0,1,0,0,0,1
230000,2007,172,60,1,1,809,1965,0,0,0,0,42,1
270000,2005,190,58,1,1,810,1975,0,1,0,0,30,1
210000,2011,143,49,1,1,811,1969,0,0,0,1,42,1
366700,2006,274,83,1,1,817,2004,0,1,0,0,2,1
238600,2013,185,61,1,1,834,1992,0,0,0,1,21,1
284900,2008,249,76,1,1,838,2007,0,1,0,0,1,1
253000,2005,146,48,1,1,850,1974,0,0,0,0,31,1
305000,2006,200,61,1,1,850,1984,0,1,0,0,22,1
280000,2005,180,55,1,1,850,1986,0,1,0,0,19,1
